ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
134471	0.666666666666667	0.857142857142857	0.92	0.882352941176471	0.714285714285714	0.833333333333333	1	1	0	0	1	5	-1	25
134472	0	0.0952380952380952	0.16	0.0588235294117647	0	0.0833333333333333	0	0	0	0	0	5	-1	25
134473	0.833333333333333	0.714285714285714	0.72	0.882352941176471	0.714285714285714	1	1	0.9	0.0714285714285714	0	0.810810810810811	5	-1	25
134474	1	1	1	1	1	1	1	1	0	0.032258064516129	0.945945945945946	5	-1	25
134475	0	0	0.16	0.0588235294117647	0	0	0.4	0.05	0	0	0	5	1	25
134476	1	1	1	0.882352941176471	1	1	1	1	0.0714285714285714	0.161290322580645	1	5	-1	25
134477	1	0.904761904761905	0.92	0.705882352941177	0.857142857142857	0.916666666666667	0.4	0.9	0	0	1	5	-1	25
134478	0.833333333333333	0.952380952380952	1	1	1	1	1	1	0	0	1	5	-1	25
134479	0.333333333333333	0.238095238095238	0.56	0.529411764705882	0	0.0833333333333333	0.6	0.05	0	0.032258064516129	0.27027027027027	5	1	25
134480	0	0	0.04	0	0	0	0.2	0	0	0	0	5	-1	25
134481	0.166666666666667	0.428571428571429	0.64	0.647058823529412	0.428571428571429	0.583333333333333	0.4	0.35	0	0	0.702702702702703	5	-1	25
134482	0.333333333333333	0.80952380952381	0.76	0.764705882352941	0.428571428571429	0.833333333333333	0.6	0.55	0.285714285714286	0.0967741935483871	0.918918918918919	5	-1	25
134483	1	1	1	1	1	1	1	1	0	0	1	5	-1	25
134484	0	0.142857142857143	0.04	0.0588235294117647	0.285714285714286	0.416666666666667	0.6	0.2	0	0	0.0810810810810811	5	1	25
134485	1	0.80952380952381	1	0.882352941176471	1	0.833333333333333	1	0.5	0.285714285714286	0.129032258064516	0.945945945945946	5	1	25
134486	0.166666666666667	0.428571428571429	0.84	0.647058823529412	0.428571428571429	0.666666666666667	0.6	0.35	0.142857142857143	0	0.459459459459459	5	1	25
134487	0.166666666666667	0.571428571428571	0.4	0.529411764705882	0.142857142857143	0.416666666666667	0.4	0.5	0.142857142857143	0.129032258064516	0.378378378378378	5	-1	25
134488	0	0	0.24	0.235294117647059	0	0.25	0.4	0	0	0	0.0810810810810811	5	1	25
134489	0.333333333333333	0.714285714285714	0.84	0.882352941176471	0.714285714285714	0.833333333333333	1	0.65	0	0	0.945945945945946	5	1	25
134490	0	0.0476190476190476	0.4	0.117647058823529	0.571428571428571	0.0833333333333333	0.4	0.15	0	0	0.135135135135135	5	1	25
134491	0.166666666666667	0.0952380952380952	0.2	0.176470588235294	0.285714285714286	0	0	0	0	0.032258064516129	0.135135135135135	5	-1	25
134492	0.333333333333333	0.714285714285714	0.56	0.705882352941177	0.428571428571429	0.666666666666667	0.6	0.6	0.142857142857143	0	0.702702702702703	5	1	25
134493	0	0.142857142857143	0.28	0.411764705882353	0.428571428571429	0.166666666666667	0.4	0.1	0.0714285714285714	0.0645161290322581	0.513513513513513	5	-1	25
134494	1	1	1	1	1	1	0.6	0.6	0.214285714285714	0.225806451612903	0.972972972972973	5	1	25
134495	0.833333333333333	0.952380952380952	0.84	1	1	1	0.8	0.6	0.142857142857143	0.0645161290322581	0.945945945945946	5	1	25
134496	0	0	0.04	0.0588235294117647	0	0	0	0	0	0.032258064516129	0	5	1	25
134497	0.333333333333333	0.714285714285714	0.88	0.705882352941177	0.571428571428571	0.333333333333333	1	0.3	0.142857142857143	0.419354838709677	0.675675675675676	5	1	25
134498	0.833333333333333	0.857142857142857	0.6	0.823529411764706	0.571428571428571	1	1	0.65	0	0	0.972972972972973	5	-1	25
134499	0.333333333333333	0.666666666666667	0.8	0.764705882352941	0.571428571428571	0.416666666666667	0.2	0.6	0	0	0.864864864864865	5	-1	25
134500	0.333333333333333	0.428571428571429	0.52	0.411764705882353	0.571428571428571	0.333333333333333	0.6	0.15	0	0	0.540540540540541	5	-1	25
134501	0.333333333333333	0.142857142857143	0.44	0.352941176470588	0.285714285714286	0.25	0.2	0.2	0	0.032258064516129	0.324324324324324	5	-1	25
134502	1	1	0.96	1	0.857142857142857	1	1	1	0.142857142857143	0.0967741935483871	1	5	1	25
134503	1	1	1	1	1	1	1	1	0.142857142857143	0.129032258064516	0.945945945945946	5	-1	25
134504	0.166666666666667	0.333333333333333	0.48	0.294117647058824	0.428571428571429	0.25	0.2	0.35	0.0714285714285714	0.032258064516129	0.594594594594595	5	1	25
134505	0.333333333333333	1	1	1	1	0.833333333333333	0.8	1	0.5	0.225806451612903	1	5	-1	25
