CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
604906,20.1,2015-10-07,9,7,5,NA,NA,NA
478794,17.7,2015-10-07,3,NA,NA,NA,NA,NA
421901,19.6,2015-10-07,3,NA,NA,NA,NA,NA
317957,19.2,2015-10-07,3,NA,NA,NA,NA,NA
281159,21,2015-10-08,4,NA,NA,NA,NA,NA
216088,21,2015-10-09,3,NA,NA,NA,NA,NA
374142,20.5,2015-10-11,20,7,NA,NA,NA,NA
506331,18.6,2015-10-12,7,NA,NA,NA,NA,NA
202337,18.1,2015-10-12,3,NA,NA,NA,NA,NA
300913,20.5,2015-10-13,3,NA,NA,NA,NA,NA
971186,18.4,2015-10-13,9,4,13,13,NA,NA
182279,21.2,2015-10-14,3,NA,NA,NA,NA,NA
187557,21.5,2015-10-22,12,4,NA,NA,NA,NA
230233,19.7,2015-11-04,6,3,NA,NA,NA,NA
980956,20.4,2015-08-05,4,NA,NA,NA,NA,NA
855420,20.9,2015-08-05,4,NA,NA,NA,NA,NA
149616,26.1,2015-10-23,6,NA,NA,NA,NA,NA
